NAME_2,latitude,longitude
GREATER MANCHESTER,53.51517714626135,-2.2842373404172296
MERSEYSIDE,53.44405762723277,-2.9229736500745327
SOUTH YORKSHIRE,53.48439917851179,-1.3312614787369679
WEST MIDLANDS,52.488364234991316,-1.8745670831710974
WEST YORKSHIRE,53.743132229499274,-1.688884609492927
TYNE AND WEAR,54.954004411284934,-1.5659336869686453
BARNSLEY,53.5262384002347,-1.5335604411603503
BATH AND NORTH EAST SOMERSET,51.355271132920414,-2.469958502696434
BEDFORDSHIRE,52.19593243358277,-0.4891568353530206
BIRMINGHAM,52.48450048236902,-1.864205421556317
BLACKBURN WITH DARWEN,53.6951404484349,-2.4698558294584485
BLACKPOOL,53.8212586700857,-3.031353854711088
BOLTON,53.57859181582441,-2.4770282213556727
BOURNEMOUTH,50.747160578874265,-1.8651462489240513
BRACKNELL FOREST,51.408837165541385,-0.7412734456422129
BRADFORD,53.84385654874756,-1.8482595971427709
BRIGHTON AND HOVE,50.844951270962405,-0.1379633931030918
BRISTOL,51.469561553957256,-2.594693259252785
BUCKINGHAMSHIRE,51.89428278385721,-0.8801573815045858
BURY,53.59077064991547,-2.321358947401944
CALDERDALE,53.718862762957805,-1.969035172511869
CAMBRIDGESHIRE,52.195511073756634,0.1982136005660797
CENTRAL BEDFORDSHIRE,52.0161456920825,-0.43163531800921806
CHESHIRE EAST,53.17510544639816,-2.365560206065669
CHESHIRE WEST AND CHESTER,53.212421026594825,-2.732171559955336
CORNWALL,50.405233799634296,-4.82601527611235
COVENTRY,52.42217482128834,-1.5205982536461342
CUMBRIA,54.731677826376085,-3.1979863645137767
DARLINGTON,54.545772883549375,-1.5621082683133325
DERBY,52.91441039448252,-1.4764487885391775
DERBYSHIRE,53.01332202285217,-1.502791253062748
DEVON,50.76649262631646,-3.2194371212948525
DONCASTER,53.54759450916995,-1.0970596093677423
DORSET,50.76375649531513,-1.7931384118128268
DUDLEY,52.471714237171305,-2.1014340590624934
DURHAM,54.692783833877826,-1.840066045357511
EAST RIDING OF YORKSHIRE,53.86175043298405,-0.5019071510585852
EAST SUSSEX,50.77481178438866,0.26430894507476566
ESSEX,51.596199245646766,0.45854613420350177
GATESHEAD,54.92938480793879,-1.6752499942907233
GLOUCESTERSHIRE,51.9022558891949,-2.0835824159055516
GREATER LONDON,51.54100944096427,0.13801542282350526
HALTON,53.346626990346365,-2.718285088145431
HAMPSHIRE,51.26946126528803,-1.2172047885607533
HARTLEPOOL,54.669709934167756,-1.270096824545018
HEREFORDSHIRE,52.10254037172463,-2.7349382477454602
HERTFORDSHIRE,51.71932313972383,-0.05366621562421042
ISLE OF WIGHT,50.674952385637184,-1.2985643261791955
ISLES OF SCILLY,49.93582737830224,-6.31854862630768
KENT,51.11745651252257,0.7942069262223804
KINGSTON UPON HULL,53.76523210234767,-0.33204266797026577
KIRKLEES,53.6262519440927,-1.7594765469582123
KNOWSLEY,53.42806185281538,-2.838335570159772
LANCASHIRE,53.78152705334103,-2.2254838836553623
LEEDS,53.825213149773155,-1.4987953809344021
LEICESTER,52.6370166908111,-1.140211830247952
LEICESTERSHIRE,52.57537621438839,-1.2299146951485718
LINCOLNSHIRE,52.97170909043767,-0.04681874099281476
LUTON,51.89695574667481,-0.4248245201943316
MANCHESTER,53.45648488152639,-2.242028121976084
MEDWAY,51.41371236845388,0.5556631134500642
MIDDLESBROUGH,54.544026152693085,-1.2389105573143586
MILTON KEYNES,52.08028857296114,-0.7315570569499058
NEWCASTLE UPON TYNE,55.00088572389972,-1.648624186957395
NORFOLK,52.57269253046106,0.8346539715066279
NORTH LINCOLNSHIRE,53.58236171271402,-0.5869382238245022
NORTH SOMERSET,51.39021024423232,-2.7902314366855325
NORTH TYNESIDE,55.02246073442214,-1.5119973431128353
NORTH YORKSHIRE,54.082710126181446,-2.175925256694326
NORTHAMPTONSHIRE,52.50121200371069,-0.7003841280077283
NORTHUMBERLAND,55.236808961689434,-2.064126057151786
NOTTINGHAM,52.95999376651368,-1.1862086942704657
NOTTINGHAMSHIRE,53.09052033648689,-1.2619148439050418
OLDHAM,53.55637711490509,-2.0501778821892676
OXFORDSHIRE,51.95380830271398,-1.2693922608293664
PETERBOROUGH,52.60664316824486,-0.2614577158522069
PLYMOUTH,50.39522480724992,-4.124694493599311
POOLE,50.74180540369728,-1.9655110515235894
PORTSMOUTH,50.81496716011261,-1.0351343119069363
READING,51.450477219014346,-1.0271202069918184
REDCAR AND CLEVELAND,54.55009286313403,-1.0247382807154828
ROCHDALE,53.615340864712394,-2.1621935927066724
ROTHERHAM,53.40360709767191,-1.2734669404476893
RUTLAND,52.65634503713036,-0.6415197125309088
SAINT HELENS,53.4644748339051,-2.731274462456842
SALFORD,53.48608651913007,-2.3887804197343283
SANDWELL,52.510494098669916,-2.012322777957282
SEFTON,53.408479393166445,-2.9279034611774866
SHEFFIELD,53.40109841779316,-1.5493972656298003
SHROPSHIRE,52.63711751027616,-2.732142525874033
