location,latitude,longitude
'AMRAN_GOVERNORATE,16.123526944475138,43.884942365119755
'ASIR,19.258165425650215,42.98789239375014
'EUA,-21.366755574022427,-174.92989550198638
ADAN_GOVERNATE,12.85394783234497,44.8654427636884
A'ANA,-13.889934248972558,-171.9718746099047
A'EEMBUCU,-26.811260996073724,-57.92200049262193
AARGAU,47.37143630990071,8.1531672025881
ABIA,5.488530563900788,7.536156337994078
ABRUZZO,42.260157743178965,13.856047397517147
ABU_DHABI,23.65441011394444,54.15469072738402
ABYAN_GOVERNORATE,13.75575930360657,46.15446160319191
ACEH,4.25847239399305,96.98306672548306
ACKLINS,22.614348808283378,-73.94263892376884
ACOUA,-12.724108139116103,45.06743390537374
ACQUAVIVA,43.94470913583531,12.427664331785513
ACRE,-9.196292595269783,-70.50771385745456
AD_DAKHILIYAH,22.16664833304478,57.41240093295874
AD_DALI'_GOVERNORATE,13.897293784245447,44.712337673735924
ADAMAWA,7.776627074136717,12.80789541720996
ADDIS_ABABA,8.972539156162005,38.7400406287163
ADDU,-0.600722877630066,73.08456353069725
ADRAR,24.34263647767958,-3.8267443121234725
ADYGEA,44.61570681313564,39.9722163592478
AFAR,11.981051605573253,40.816249419309045
AGADEZ,19.468248975882222,10.521631652387418
AGANA_HEIGHTS,13.464747268643348,144.7431216241643
AGAT,13.359367761924286,144.66898574377979
AGDER,58.656472928951814,7.627038580392438
AGION_OROS,40.281385575352836,24.138651028503897
AGUASCALIENTES,21.944489268633248,-102.38983024474346
AHAL_REGION,38.59766571943139,59.03700400280238
AHMADI,28.84371847991585,47.95869385577078
AHUACHAPAN,13.862790594116532,-89.89313228370766
AICHI,34.97061907345893,137.26360194246288
AIGA_I_LE_TAI,-13.861487899255915,-172.0553037326282
AILEU,-8.712689496812974,125.61253423504374
AILINGLAPLAP,7.5926857524915565,168.96389392736205
AILUK,10.411486140189533,169.97250114023154
AIMELIIK,7.440844789776786,134.51108563126115
AIN_DEFLA,36.18308650903956,2.081933731247401
AIN_TEMOUCHENT,35.34052338935554,-1.0819205098429814
AINARO,-9.056000847173252,125.54089384681701
AIRAI,7.411562248605897,134.55103716725853
AIWO,-0.534718419901337,166.91472724952277
AJLUN,32.235812511308296,35.75956698873106
AJMAN,25.225270726439412,55.69184721374343
AKITA,39.75572691297486,140.3691917535601
AKMOLA_REGION,51.81253331770828,69.88316710136624
AKTOBE_REGION,48.612886887383446,58.585869109159745
AKWA_LBOM,4.843251597975589,7.886360142544409
AL_ANBAR,32.94932426522181,41.62349843076434
AL_ASIMAH,29.340046100114378,47.90942952553043
AL_BAHAH,20.15728526166515,41.42014904397498
AL_BATINAH,23.881690310956838,57.058950728601374
AL_BAYDA'_GOVERNORATE,14.357460086383924,45.269748754356286
AL_DAAYEN,25.499513994277624,51.486430477649094
AL_HASAKAH,36.50879645351666,40.88773234153427
AL_HUDAYDAH_GOVERNORATE,14.778832989451697,43.23282017472749
AL_JAWF,29.991890422545662,39.5936453095053
AL_JAWF_GOVERNORATE,16.600410717692107,45.55786408524256
AL_KHOR_AND_AL_THAKHIRA,25.758978794070277,51.293619649448594
